origin_country,total_flights,avg_velocity,on_ground
Algeria,14,196.51214285714286,1
Angola,2,209.37,0
Argentina,21,140.36666666666665,2
Australia,31,91.55483870967741,9
Austria,119,170.41268907563025,5
Azerbaijan,6,203.87,0
Bahamas,2,115.66999999999999,0
Bahrain,9,221.07888888888888,0
Bangladesh,7,99.87285714285714,2
Belarus,1,220.81,0
Belgium,47,158.68021276595746,7
Brazil,132,155.6031818181818,7
Brunei Darussalam,4,228.28,0
Bulgaria,11,201.83363636363637,1
Cambodia,1,217.36,0
Canada,448,132.65671875,91
Cape Verde,1,4.89,1
Chile,24,176.74125,2
China,168,184.68178571428572,18
Colombia,8,155.19875000000002,0
Croatia,5,152.254,1
Cyprus,1,39.54,0
Czech Republic,37,101.25567567567568,4
Denmark,34,132.9514705882353,2
Dominican Republic,2,231.66,0
Ecuador,1,217.55,0
Egypt,37,236.73000000000002,0
Estonia,7,185.49285714285716,1
Ethiopia,7,156.4742857142857,2
Fiji,1,267.96,0
Finland,49,179.3387755102041,1
France,196,159.96045918367346,8
Georgia,3,74.54,2
Germany,290,160.98765517241378,24
Greece,53,147.16716981132075,9
Guatemala,9,51.62222222222223,1
Hungary,45,198.40222222222224,2
Iceland,9,145.29888888888888,0
India,159,179.79383647798744,16
Indonesia,9,197.22222222222223,0
Iraq,1,202.28,0
Ireland,306,184.7862091503268,19
Islamic Republic of Iran,1,261.14,0
Israel,29,156.26413793103447,5
Italy,35,137.1037142857143,2
Japan,37,172.59756756756755,4
Jordan,8,213.72875,0
Kenya,3,176.13333333333333,0
Kingdom of the Netherlands,110,157.97627272727271,11
Kuwait,2,38.325,1
Lao People's Democratic Republic,1,231.13,0
Latvia,33,165.52818181818182,4
Lebanon,2,132.23,0
Libyan Arab Jamahiriya,1,244.14,0
Lithuania,14,166.44071428571428,2
Luxembourg,37,170.24567567567567,3
Malaysia,42,197.37285714285713,0
Malta,164,185.43439024390244,6
Mauritius,1,190.65,0
Mexico,98,176.0987755102041,7
Monaco,1,51.96,0
Morocco,25,218.3628,0
Mozambique,1,59.92,0
Myanmar,3,176.0666666666667,0
Nepal,2,190.59,0
New Zealand,8,125.795,3
Norway,49,149.96714285714287,4
Oman,3,211.38,0
Pakistan,2,227.485,0
Panama,15,217.2,0
Paraguay,1,184.93,0
Peru,1,71.02,0
Philippines,25,180.29240000000001,2
Poland,130,157.0643076923077,6
Portugal,75,157.6756,9
Qatar,36,224.16194444444443,2
Republic of Korea,46,204.82652173913044,1
Romania,15,172.94799999999998,0
Russian Federation,36,157.185,1
Rwanda,1,206.32,0
Saint Vincent and the Grenadines,1,71.59,0
San Marino,9,158.5,0
Saudi Arabia,25,204.238,1
Senegal,1,73.15,0
Serbia,7,97.89285714285714,1
Singapore,29,221.65137931034485,2
Slovakia,6,90.64,0
Slovenia,2,65.195,0
South Africa,26,152.48239999999998,1
Spain,199,178.14467336683418,11
Sri Lanka,2,233.345,0
Sweden,77,164.05103896103896,7
Switzerland,105,113.72123809523809,35
Taiwan,25,221.688,1
Tajikistan,1,172.82,0
Thailand,41,175.71341463414635,1
Trinidad and Tobago,1,236.94,0
Tunisia,12,179.05166666666665,2
Turkey,215,211.03009302325583,4
Turkmenistan,3,239.82666666666668,0
Ukraine,2,248.505,0
United Arab Emirates,98,234.91489795918366,2
United Kingdom,549,151.9536612021858,37
United Republic of Tanzania,1,239.36,0
United States,6260,136.04921712733665,443
Uzbekistan,9,229.82555555555552,0
Venezuela,2,195.2,0
Viet Nam,12,198.8175,1
